STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Balassi Balint utca,V,130,4,1386.0,5.0,4.0,,2.0,,6.0,,1,4.0,91.0,0,,panoramic,2.0,0.0,,1.0,0.0,,0,
 Hercegprimas utca,V,60,2,725.0,5.0,3.0,,3.0,,4.0,1.0,1,4.0,0.0,0,,,3.0,,,1.0,0.0,not allowed,,
 Kadar utca,XIII,53,2,725.0,5.0,5.0,,0.5,1.0,6.0,2.0,1,4.0,0.0,0,,,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Budakeszi ut,II,78,2,710.0,5.0,3.0,,0.5,1.0,10.0,,0,3.0,45.0,0,,court,0.0,1.0,,1.0,0.0,,0,
 Hegyalja ut,I,51,1,601.0,5.0,3.0,,0.0,0.0,2.0,,0,3.0,0.0,0,,garden,10.0,0.0,0.0,1.0,0.0,not allowed,0,
 Rakoczi ut 47.,VIII,82,2,740.0,5.0,,,3.0,0.0,,,1,4.0,0.0,0,,court,0.0,,,1.0,,,,
 Belso-Terezvaros,VI,65,1,793.0,4.0,3.0,,1.0,0.0,5.0,1.0,0,3.0,0.0,0,west,street,0.0,0.0,0.0,1.0,0.0,,0,
 Kodaly korond,VI,79,3,1005.0,5.0,,,1.0,1.0,,,0,1.0,0.0,0,,street,0.0,,,,0.0,,,
 Petofi Sandor utca,V,34,1,513.0,4.0,,11,2.0,1.0,5.0,2.0,1,4.0,82.0,0,,street,0.0,,,1.0,,,0,
 Paulay Ede utca,VI,68,3,967.0,5.0,4.0,,2.0,1.0,,2.0,1,,0.0,0,,street,0.0,,0.0,,,,,
 Andrassy ut 6.,VI,136,3,1586.0,5.0,,,3.0,1.0,,,1,4.0,0.0,0,,street,0.0,,,1.0,,,,
