STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Rozsnyai utca 20.,XIII,37,1,529.0,6.0,,,,1.0,,,1,4.0,0.0,0,,panoramic,10.0,,0.0,1.0,0.0,not allowed,,
 Gyori ut 4.,XII,49,1,695.0,5.0,5.0,,5.0,1.0,6.0,2.0,1,4.0,0.0,1,,panoramic,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Dagaly utca,XIII,59,2,498.0,5.0,3.0,,1.0,0.0,4.0,1.0,1,4.0,106.0,0,east,street,3.0,0.0,0.0,1.0,0.0,not allowed,0,
 Kecskemeti utca,V,62,2,918.0,5.0,3.0,,1.0,,3.0,2.0,1,4.0,0.0,0,,court,0.0,,,1.0,0.0,not allowed,,
 Peterfy Sandor utca 15.,VII,19,2,302.0,5.0,3.0,,,1.0,,2.0,0,4.0,54.0,0,,court,0.0,0.0,0.0,1.0,,not allowed,0,
 Csengery utca,VII,78,2,634.0,4.0,3.0,,4.0,,4.0,1.0,1,4.0,76.0,0,,court,0.0,0.0,0.0,1.0,0.0,,0,
 Vidam utca 10.,XXII,59,2,453.0,4.0,,,4.0,0.0,4.0,1.0,0,4.0,106.0,0,south-east,panoramic,2.0,0.0,,1.0,1.0,not allowed,0,0.0
 Hegyalja ut,I,80,2,755.0,5.0,3.0,,2.0,1.0,4.0,,1,1.0,0.0,0,,street,6.0,,0.0,1.0,,not allowed,,
 Ady Endre ut 39.,XXI,38,1,378.0,5.0,3.0,,7.0,1.0,10.0,1.0,0,4.0,76.0,0,,court,4.0,0.0,0.0,1.0,0.0,not allowed,1,
 Baranyai ter,XI,44,2,544.0,5.0,,,1.0,,,,1,4.0,0.0,0,south,garden,6.0,,0.0,1.0,,not allowed,0,
 Mohacs utca,XIII,34,1,453.0,6.0,3.0,,2.0,1.0,4.0,,0,4.0,45.0,0,,court,6.0,,,1.0,0.0,,0,
 Hegyalja ut,XII,74,2,483.0,5.0,5.0,,1.0,0.0,3.0,1.0,1,4.0,106.0,0,east,garden,20.0,0.0,,1.0,0.0,not allowed,1,
 Baber utca 13.,XIII,40,1,559.0,6.0,3.0,,2.0,1.0,,,1,4.0,0.0,1,south-west,garden,4.0,0.0,0.0,1.0,0.0,not allowed,,
 Stollar Bela utca 22.,V,136,3,1428.0,5.0,3.0,,2.0,1.0,5.0,2.0,1,4.0,151.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Budafoki ut 22.,XI,14,1,211.0,5.0,3.0,,,1.0,,2.0,0,4.0,24.0,1,south,garden,0.0,,0.0,,0.0,not allowed,,
 Kuruclesi ut,II,146,3,1118.0,5.0,4.0,,0.0,0.0,2.0,,0,1.0,91.0,0,south,garden,0.0,1.0,0.0,1.0,1.0,,0,
 Teve utca 1/d,XIII,54,1,574.0,5.0,4.0,,7.0,1.0,9.0,,1,,121.0,0,,,7.0,,,,1.0,,,
 Zalai ut,XII,50,2,483.0,4.0,3.0,,0.0,0.0,,,0,4.0,0.0,0,south-east,garden,3.0,,,1.0,0.0,not allowed,0,
 Wesselenyi utca,VII,71,2,589.0,4.0,,,0.5,1.0,,2.0,0,2.0,91.0,0,,street,0.0,,,1.0,1.0,,0,
 Madi utca,X,53,1,423.0,4.0,,,2.0,0.0,4.0,,0,3.0,0.0,0,,,10.0,,0.0,,,,0,
